           1     1.31491     1.31491           0
           2     1.45057     1.38274   0.0678326
           3     1.42492      1.3968     0.04161
           4     1.33474     1.38128   0.0332624
           5     1.42418     1.38986   0.0271556
           6     1.43882     1.39802   0.0236261
           7     1.37707     1.39503    0.020191
           8     1.42811     1.39916   0.0179682
           9     1.41856     1.40132   0.0159923
          10     1.42426     1.40361   0.0144868
          11     1.36591     1.40019   0.0135447
          12     1.30468     1.39223   0.0147045
          13      1.4026     1.39302   0.0135497
          14     1.35001     1.38995   0.0129154
          15     1.42436     1.39225   0.0122404
          16     1.31695     1.38754   0.0123792
          17     1.35598     1.38568   0.0117754
          18     1.37725     1.38522   0.0111119
          19     1.41392     1.38673   0.0106188
          20     1.37695     1.38624   0.0100858
