1   0.122649   0.169918   1
2   0.0839539   0.159259   18
3   0.133804   0.0534795   31
4   0.233157   0.193293   12
5   0.257893   0.239268   15
6   0.501858   0.024284   20
7   0.67838   0.0982145   23
8   0.705029   0.0860072   4
9   0.776048   0.0211376   7
10   0.813285   0.0179424   30
11   0.713423   0.111777   32
12   0.651955   0.213852   22
13   0.729649   0.331166   2
14   0.686006   0.369351   21
15   0.479138   0.49426   14
16   0.477115   0.571835   3
17   0.471797   0.584917   16
18   0.616809   0.580468   17
19   0.931865   0.754052   19
20   0.918855   0.939875   29
21   0.765764   0.970267   27
22   0.656019   0.905484   5
23   0.577269   0.840005   25
24   0.493226   0.756047   13
25   0.371496   0.836567   6
26   0.22611   0.99461   28
27   0.0646429   0.754654   11
28   0.12096   0.680137   24
29   0.279233   0.545858   9
30   0.168325   0.572439   8
31   0.0173017   0.583179   10
32   0.0527608   0.453507   26
1   0.122649   0.169918   1
